400024,72,84,71,75.67
400635,98,96,84,92.67
400638,85,73,95,84.33
400862,70,96,89,85.0
401097,95,70,74,79.67
401546,80,97,71,82.67
401583,97,85,79,87.0
401610,90,82,90,87.33
402066,82,74,79,78.33
402174,72,73,71,72.0
402509,78,78,98,84.67
402581,78,80,88,82.0
402962,98,98,97,97.67
402989,83,77,84,81.33
403038,74,83,94,83.67
403133,88,81,96,88.33
403217,85,99,78,87.33
404042,82,73,70,75.0
404082,70,71,97,79.33
404133,73,81,93,82.33
404232,98,73,94,88.33
404269,74,78,79,77.0
404906,82,77,86,81.67
405747,73,95,97,88.33
405807,83,82,87,84.0
406008,99,89,94,94.0
406240,94,99,91,94.67
406531,81,71,76,76.0
406561,93,88,96,92.33
406715,87,71,88,82.0
406932,77,96,77,83.33
407663,74,94,80,82.67
407789,78,92,92,87.33
408015,70,87,71,76.0
408070,88,83,98,89.67
408087,100,100,70,90.0
408104,70,91,79,80.0
409437,96,73,79,82.67
409763,72,80,97,83.0
409825,99,90,97,95.33
