400000,97,79,78,84.67
400001,79,75,90,81.33
400002,76,85,80,80.33
400003,76,95,71,80.67
400003,98,95,86,93.0
400003,99,72,75,82.0
400006,100,76,87,87.67
400007,94,87,71,84.0
400007,81,73,71,75.0
400009,84,91,100,91.67
400010,76,77,100,84.33
400014,80,71,87,79.33
400015,77,92,94,87.67
400016,99,100,81,93.33
400018,70,73,74,72.33
400024,78,85,89,84.0
400028,75,87,83,81.67
400030,89,77,98,88.0
400032,99,73,90,87.33
400034,99,76,81,85.33
400035,94,97,71,87.33
400040,95,75,76,82.0
400041,98,74,78,83.33
400043,73,81,91,81.67
400046,78,81,92,83.67
400052,81,88,97,88.67
400053,92,97,87,92.0
400056,89,76,75,80.0
400059,96,81,71,82.67
400060,82,96,71,83.0
400063,80,99,98,92.33
400064,76,71,82,76.33
400065,96,76,95,89.0
400066,87,94,94,91.67
400069,89,84,85,86.0
400069,77,93,96,88.67
400069,79,79,87,81.67
400071,97,92,74,87.67
400071,83,76,79,79.33
400073,86,99,95,93.33
400076,77,96,78,83.67
400076,97,87,73,85.67
400079,75,96,95,88.67
400082,95,82,87,88.0
400083,80,73,88,80.33
400084,74,80,80,78.0
400084,90,81,91,87.33
400084,72,71,80,74.33
400085,88,70,86,81.33
400091,79,99,100,92.67
400091,93,86,88,89.0
400092,85,81,82,82.67
400095,88,74,82,81.33
400096,91,100,86,92.33
400097,96,95,89,93.33
400098,82,86,76,81.33
400098,84,75,96,85.0
400099,75,84,99,86.0
400101,76,85,94,85.0
400101,98,80,80,86.0
400105,75,94,87,85.33
400105,70,75,92,79.0
400108,95,90,90,91.67
400108,99,89,83,90.33
400108,77,90,92,86.33
400112,79,94,98,90.33
400112,79,87,93,86.33
400115,93,83,82,86.0
400121,86,89,79,84.67
400121,98,89,94,93.67
400126,78,77,83,79.33
400126,80,86,83,83.0
400128,72,82,85,79.67
400129,76,87,99,87.33
400131,85,96,78,86.33
400132,72,81,90,81.0
400132,86,92,82,86.67
400132,70,99,72,80.33
400133,100,72,84,85.33
400134,100,81,85,88.67
400134,93,81,80,84.67
400134,90,72,80,80.67
400142,96,96,87,93.0
400143,81,83,89,84.33
400144,81,88,75,81.33
400144,93,78,71,80.67
400144,85,100,88,91.0
400148,90,70,97,85.67
400148,88,88,79,85.0
400149,100,83,81,88.0
400150,73,95,86,84.67
400152,97,93,87,92.33
400153,90,73,79,80.67
400153,99,77,97,91.0
400154,98,88,93,93.0
400154,91,91,89,90.33
400155,98,89,92,93.0
400155,94,91,87,90.67
400156,82,89,70,80.33
400157,83,92,70,81.67
400159,79,85,70,78.0
400159,92,98,74,88.0
400162,89,97,97,94.33
400162,73,77,94,81.33
400165,95,91,88,91.33
400165,86,78,87,83.67
400166,73,72,80,75.0
400166,97,73,100,90.0
400168,89,91,99,93.0
400168,94,70,99,87.67
400170,92,93,73,86.0
400179,95,84,86,88.33
400181,74,90,83,82.33
400182,74,89,74,79.0
400182,73,91,84,82.67
400182,95,80,100,91.67
400185,96,84,100,93.33
400186,96,86,84,88.67
400188,78,100,93,90.33
400190,78,97,90,88.33
400191,86,96,90,90.67
400192,75,97,82,84.67
400196,87,94,89,90.0
400197,79,97,93,89.67
400197,99,100,75,91.33
400199,100,95,98,97.67
400200,94,98,75,89.0
400201,79,80,76,78.33
400202,74,71,71,72.0
400203,79,73,88,80.0
400203,77,83,96,85.33
400204,71,74,77,74.0
400204,94,88,89,90.33
400204,74,75,94,81.0
400205,90,70,76,78.67
400207,92,72,81,81.67
400210,83,71,84,79.33
400213,75,99,95,89.67
400213,74,91,88,84.33
400214,92,93,87,90.67
400214,95,76,77,82.67
400220,85,92,70,82.33
400221,87,72,89,82.67
400223,77,90,88,85.0
400224,88,96,98,94.0
400226,98,77,86,87.0
400226,94,92,98,94.67
400226,83,78,89,83.33
400227,92,99,80,90.33
400227,71,95,75,80.33
400229,80,74,82,78.67
400231,86,72,93,83.67
400231,72,76,96,81.33
400233,99,95,73,89.0
400234,86,88,99,91.0
400234,90,85,84,86.33
400237,72,76,72,73.33
400239,94,89,96,93.0
400241,85,90,92,89.0
400242,73,89,90,84.0
400242,83,92,81,85.33
400245,81,71,98,83.33
400246,84,85,70,79.67
400249,92,83,87,87.33
400249,84,70,70,74.67
