402262,95,73,77
407438,85,79,88
405634,88,72,87
403987,94,96,78
405444,80,97,82
409690,71,79,93
404387,82,98,76
408339,70,99,74
402361,72,98,97
407008,76,76,93
400801,72,87,89
406838,100,92,91
408953,72,83,85
401931,96,87,84
404401,94,100,90
404809,70,91,85
403482,92,93,93
406377,72,90,83
400696,91,74,71
408777,72,77,90
408688,78,82,75
407030,99,83,72
408266,78,89,71
406626,81,96,90
402511,88,74,89
402606,78,89,99
400811,87,94,89
404736,95,90,99
406012,98,73,91
400798,81,73,78
400576,85,84,86
409137,88,82,81
401995,99,76,74
407523,77,100,96
408974,74,74,100
402960,83,92,79
405744,78,85,74
405400,82,91,76
404409,72,86,98
406491,73,85,86
408737,93,94,80
406603,90,95,73
409541,74,81,92
400397,82,88,94
406674,80,80,75
407320,78,96,71
406167,91,96,98
408243,98,75,77
404519,97,80,90
403243,70,85,82
405300,90,97,91
405290,92,87,74
409829,78,82,80
405280,81,82,77
401760,77,78,93
406094,100,96,81
400896,97,73,87
406726,71,78,84
407023,93,87,73
406092,76,90,99
406204,96,92,88
408183,90,90,86
401463,96,81,85
402320,95,98,85
408143,100,77,95
406400,99,96,99
408970,73,96,84
409462,74,74,88
408605,90,74,91
400159,79,85,70
405039,75,71,85
408203,72,70,85
401802,86,74,88
407791,82,76,88
402042,87,70,91
405533,78,74,99
408475,79,80,94
403068,100,86,76
409326,88,70,100
406998,93,86,89
401476,96,94,95
408564,94,83,93
400993,78,96,90
405780,81,75,93
402122,96,90,84
404227,91,96,78
408775,79,73,70
408643,95,70,79
405601,91,98,73
404550,100,85,95
404836,97,76,83
407344,84,82,79
403006,87,81,94
403336,78,79,86
408334,81,73,98
409959,89,77,76
404693,72,71,99
409254,74,73,78
400359,91,90,83
407252,72,84,96
408827,71,96,76
401118,73,77,95
404950,81,79,73
409301,73,89,93
408804,74,75,71
405323,87,86,76
408831,75,70,80
401205,86,100,80
406437,92,84,78
407978,73,75,76
407637,76,87,89
400337,85,74,71
406162,82,73,77
409495,74,86,82
405822,79,86,86
408614,79,93,72
408032,94,71,71
405311,79,98,85
406158,87,79,76
402992,81,99,92
401427,79,96,84
409374,95,74,91
404217,74,99,87
400444,97,75,81
401392,94,78,85
404129,95,98,88
402869,80,93,98
407158,100,95,75
408907,95,83,93
402885,80,72,92
403989,84,95,79
400603,80,73,79
406937,80,100,92
404454,70,83,99
400478,88,73,89
405462,92,85,100
401614,70,82,71
405071,97,74,87
401508,99,87,83
407302,74,76,86
402479,86,89,95
401199,78,82,99
401069,70,92,79
402325,79,89,80
407168,81,82,87
409217,97,82,81
409276,96,92,80
409857,90,92,100
401142,94,100,100
408947,99,77,78
401046,82,92,81
400310,74,90,77
402245,85,80,76
409087,89,90,79
407887,96,97,87
409105,97,70,98
409682,87,86,98
406851,74,85,93
406525,99,96,85
402766,72,89,91
402929,76,73,98
404540,91,95,71
404771,99,70,82
402314,97,90,87
405383,82,81,79
403382,100,87,83
401814,77,98,76
400112,79,94,98
407384,93,100,87
400973,72,83,70
400698,70,86,72
405359,86,74,80
400777,71,95,86
405662,94,92,100
400229,80,74,82
407009,75,94,71
406063,87,88,94
405781,94,70,91
404826,78,76,80
406692,95,76,88
403165,78,78,85
403359,91,99,100
407054,90,78,86
407637,73,93,100
407064,90,83,71
402296,97,78,83
406566,95,86,85
406687,94,97,93
409253,86,80,84
406926,82,86,83
